,Date,Phase (degrees), Distance (M) ,Declination (degrees),Azimuth (degrees),Altitude (degrees)
3532,9:57:40 PM,79," 385,348,048 ",-10.02344692,112.7067753,7.940802698
3533,9:57:40 PM,87," 380,746,393 ",-13.53060427,106.4382326,-1.643124417
3534,9:57:40 PM,93," 376,317,120 ",-16.44710876,99.77575868,-13.61452644
3535,9:57:40 PM,98," 372,453,544 ",-18.51557395,92.14929922,-24.51930852
3536,9:57:40 PM,100," 369,500,289 ",-19.50159589,82.7368614,-35.13718081
3537,9:57:40 PM,99," 367,701,244 ",-19.25281744,70.27450505,-44.87410384
3538,9:57:40 PM,95," 367,161,913 ",-17.74939379,53.06428614,-52.69296632
3539,9:57:40 PM,89," 367,838,654 ",-15.11600597,30.31863602,-57.01531494
3540,9:57:40 PM,81," 369,558,701 ",-11.58818457,5.392068941,-56.49021341
3541,9:57:40 PM,71," 372,064,198 ",-7.455336425,344.1148209,-51.48776919
3542,9:57:40 PM,60," 375,066,914 ",-3.010300983,328.3621643,-43.65523609
3543,9:57:40 PM,49," 378,297,846 ",1.479426633,316.7809229,-34.39429528
3544,9:57:40 PM,38," 381,541,979 ",5.780410777,307.75603,-24.50463215
