FID,X,Y,Call_Taken,Location,Day,x2,y2
184,0,0,12/30/2015 12:00:00 AM,513,Day 1
185,-10386054.072319,5613216.987467,12/30/2015 12:00:00 AM,3065 HOLMES AVE S,Day 1,-10386054.0723176,5613216.98746683
186,0,0,12/29/2015 12:00:00 AM,510 n 1st st,Day 1
187,-10380216.594145,5617643.81761,12/30/2015 12:00:00 AM,116 14th ave s,Day 1,-10380216.5941438,5617643.81761029
188,-10377192.60012,5617255.129487,12/29/2015 12:00:00 AM,2603 university ave se,Day 1,-10377192.6001188,5617255.1294867
189,-10380963.366152,5607032.179484,12/30/2015 12:00:00 AM,5254 15 th ave se,Day 1,-10380963.3661511,5607032.17948363
190,-10383084.72511,5609325.730129,12/29/2015 12:00:00 AM,4444 3rd av s,Day 1,-10383084.7251086,5609325.73012851
191,-10383833.814896,5614965.219082,12/30/2015 12:00:00 AM,2443 BLAISDELL AVE,Day 1,-10383833.8148947,5614965.21908227
192,-10379203.481243,5615858.109179,12/29/2015 12:00:00 AM,2313 9 St S,Day 1,-10379203.4812424,5615858.10917877
193,-10378864.415329,5618607.071436,12/30/2015 12:00:00 AM,500 14th Ave Se,Day 1,-10378864.4153276,5618607.07143626
194,0,0,12/29/2015 12:00:00 AM,386 w 15th st,Day 1
195,-10382778.059956,5611256.848129,12/29/2015 12:00:00 AM,3767 4th ave s,Day 1,-10382778.0599545,5611256.84812871
196,-10383831.978429,5615301.406719,12/30/2015 12:00:00 AM,2245 blaisdell,Day 1,-10383831.9784282,5615301.40671903
197,-10384784.878664,5625149.315001,12/29/2015 12:00:00 AM,3751 lyndale ave n,Day 1,-10384784.8786634,5625149.31500105
198,-10385934.672882,5611896.619997,12/30/2015 12:00:00 AM,3536 Hennepin,Day 1,-10385934.6728812,5611896.61999688
199,-10379223.614388,5615845.641784,12/29/2015 12:00:00 AM,2324 9th st s,Day 1,-10379223.6143866,5615845.64178372
200,-10383833.559252,5615013.812028,12/30/2015 12:00:00 AM,2425 BLAISDELL AVE,Day 1,-10383833.5592506,5615013.81202847
201,-10381586.129814,5615094.516535,12/29/2015 12:00:00 AM,1018 24th st e,Day 1,-10381586.1298131,5615094.5165346
202,-10378664.916816,5618985.978477,12/30/2015 12:00:00 AM,745 14th ave se,Day 1,-10378664.9168145,5618985.97847678
