Club,Last Name,First Name,Position,Salary,Compensation,Year
Sporting Kansas City,Hasler,Nicolas,M,168000,183666.67,2019
FC Dallas,Hayes,Jacori,M,71662.56,79162.56,2019
FC Dallas,Hedges,Matt,D,550008,575008,2019
Vancouver Whitecaps,Henry,Doneil,D,190008,204241.71,2019
Chicago Fire,Herbers,Fabian,M-F,135000,135000,2019
New England Revolution,Herivaux,Zachary,M,72351.6,87351.6,2019
Atlanta United,Hernandez,Jose Rafael,D,140004,140004,2019
FC Dallas,Hernandez,Moises,D,90000,90000,2019
Sporting Kansas City,Hernandez,Felipe,M,56250,56250,2019
Real Salt Lake,Herrera,Aaron,D,86000.04,86000.04,2019
Columbus Crew,Higuain,Federico,M-F,1100000.04,1100000.04,2019
Orlando City SC,Higuita,Cristian,M,474996,611662.67,2019
LA Galaxy,Hilliard-Arce,Tomas,D,99999.96,123124.96,2019
San Jose Earthquakes,Hoesen,Danny,F,500000.04,549666.71,2019
FC Dallas,Hollingshead,Ryan,D-M,174999.96,174999.96,2019
Real Salt Lake,Holt,Erik,D,70250.04,70250.04,2019
Real Salt Lake,Horwath,Alex,GK,95000.04,100862.54,2019
Colorado Rapids,Howard,Tim,GK,2000000.04,2475000.04,2019
FC Cincinnati,Hoyte,Justin,D,70250.04,70250.04,2019
Colorado Rapids,Hundley,Matt,M-F,65000.04,99000.04,2019
Sporting Kansas City,Hurtado,Erik,F,174999.96,181249.96,2019
Atlanta United,Hyndman,Emerson,M,360000,360000,2019
Minnesota United,Ibarra,Romario,M-F,500000.04,546250.04,2019
Minnesota United,Ibarra,Miguel,M,309996,342318,2019
New York City FC,Ibeagha,Sebastien,D,74250,74250,2019
LA Galaxy,Ibrahimovic,Zlatan,F,7200000,7200000,2019
Philadelphia Union,Ilsinho,,M,330000,357000,2019
Vancouver Whitecaps,In-Beom,Hwang,M,600000,655000,2019
Colorado Rapids,Irwin,Clint,GK,126000,138707.24,2019
Portland Timbers,Ivacic,Aljaz,GK,150000,160000,2019
Major League Soccer,Ivan,Andreas,M-F,264000,330600,2019
Colorado Rapids,Jackson,Niki,F,57225,57225,2019
Montreal Impact,Jackson-Hamel,Anthony,F,160000.08,175000.08,2019
Portland Timbers,Jadama,Modou,D,70250.04,70250.04,2019
LAFC,Jakovic,Dejan,D,150000,153750,2019
LA Galaxy,Jamieson,Bradford,F,76403.28,76403.28,2019
