email_id,label
327,Unread
327,Personal
328,Archived
328,Category Promotions
328,Unread
328,Personal
329,Archived
329,Category Promotions
329,Unread
329,Personal
330,Archived
330,Category Promotions
330,Unread
330,Personal
331,Inbox
331,Category Promotions
331,Unread
332,Inbox
332,Category Promotions
332,Unread
333,Inbox
333,Category Promotions
333,Unread
334,Inbox
334,Category Promotions
334,Unread
335,Inbox
335,Category Promotions
335,Unread
336,Archived
336,Category Promotions
336,Unread
336,Personal
337,Archived
337,Category Promotions
337,Unread
337,Personal
338,Archived
338,Category Promotions
338,Unread
338,Personal
339,Inbox
339,Category Promotions
339,Unread
340,Inbox
340,Category Promotions
340,Unread
341,Archived
341,Category Promotions
341,Unread
341,Personal
342,Inbox
342,Category Promotions
342,Unread
343,Archived
343,Category Promotions
343,Unread
343,Personal
344,Inbox
344,Category Promotions
344,Unread
345,Inbox
345,Category Promotions
345,Unread
346,Archived
346,Category Promotions
346,Unread
346,Personal
347,Inbox
347,Category Promotions
347,Unread
348,Inbox
348,Category Promotions
348,Unread
349,Archived
349,Category Promotions
349,Unread
349,Personal
350,Archived
350,Category Promotions
350,Unread
350,Personal
351,Archived
351,Category Promotions
351,Unread
351,Personal
352,Archived
352,Category Promotions
352,Unread
352,Personal
353,Archived
353,Category Promotions
353,Unread
353,Personal
354,Archived
354,Category Promotions
354,Unread
354,Personal
355,Inbox
355,Category Promotions
355,Unread
356,Inbox
356,Category Promotions
356,Unread
357,Inbox
357,Category Promotions
357,Unread
358,Archived
358,Category Promotions
358,Unread
358,Personal
359,Inbox
359,Category Promotions
359,Unread
360,Archived
360,Category Promotions
360,Unread
360,Personal
361,Inbox
361,Category Promotions
361,Unread
362,Archived
362,Category Promotions
362,Unread
362,Personal
363,Archived
363,Category Promotions
363,Unread
363,Personal
364,Archived
364,Category Promotions
364,Unread
364,Personal
365,Inbox
365,Category Promotions
365,Unread
366,Archived
366,Category Promotions
366,Unread
366,Personal
367,Inbox
367,Category Promotions
367,Unread
368,Inbox
368,Category Promotions
368,Unread
369,Archived
369,Category Promotions
369,Unread
369,Personal
370,Archived
370,Category Promotions
370,Unread
370,Personal
371,Inbox
371,Category Promotions
371,Unread
372,Archived
372,Category Promotions
372,Unread
372,Personal
373,Inbox
373,Category Promotions
373,Unread
374,Archived
374,Category Promotions
374,Unread
374,Personal
375,Inbox
375,Category Promotions
375,Unread
376,Archived
